0,000048	 	0,024262	 	0,024005	 	0,024688	 	0,119136	 	
0,000019	 	0,008599	 	0,008958	 	0,009859	 	0,043711	 	
0,000196	 	0,092341	 	0,094674	 	0,105555	 	0,467266	 	
0,000106	 	0,058000	 	0,059439	 	0,062701	 	0,297610	 	
0,001070	 	0,579310	 	0,576728	 	0,630716	 	2,989537	 	
0,002000	 	1,267713	 	1,290389	 	1,341760	 	6,292811	 	
0,005191	 	3,166538	 	3,274669	 	3,424615	 	16,223381	 	
0,001776	 	1,165430	 	1,212880	 	1,266595	 	5,932881	 	
0,039966	 	22,222843	 	22,051008	 	22,377890	 	110,213051	 	
0,041983	 	22,083269	 	21,956539	 	22,123430	 	110,167419	 	
